data_type,algo,train.val,mean_auc,median_auc,std_auc
all,avg,0,0.7618975332068312,0.7623023402909551,0.010766619195501603
all,avg,1,0.7525888157894737,0.7518092105263158,0.01348052956320911
all,lr,0,0.7519165085388995,0.752371916508539,0.020373747835020897
all,lr,1,0.7313059210526316,0.7293421052631579,0.010320435578211157
all,rf,0,0.7072802024035421,0.7116698292220114,0.040654839414481524
all,rf,1,0.7319226973684211,0.7324588815789472,0.010652050962938062
all,svc,0,0.7455534471853258,0.7474383301707779,0.014186458583849733
all,svc,1,0.7290542763157895,0.7277384868421053,0.012967055959900784
omics,avg,0,0.7658444022770399,0.7662239089184061,0.010677599517953293
omics,avg,1,0.7511381578947368,0.7515624999999999,0.015761802629454747
omics,lr,0,0.7510436432637572,0.7542061986084756,0.0232555434548035
omics,lr,1,0.7320230263157895,0.7313815789473684,0.01149931550898942
omics,rf,0,0.7246426312460468,0.7325110689437064,0.03197606311219321
omics,rf,1,0.7272467105263158,0.7346052631578948,0.014439295354241618
omics,svc,0,0.7419481340923466,0.7540164452877927,0.026777228257387205
omics,svc,1,0.7242779605263158,0.726282894736842,0.013981362723356738
subtype,avg,0,0.5808222643896268,0.5809614168247945,0.0012184118144819667
subtype,avg,1,0.6158059210526317,0.6140953947368422,0.014418667866111687
subtype,lr,0,0.580404807084124,0.5809614168247945,0.0007185800853179066
subtype,lr,1,0.612328947368421,0.6149177631578947,0.010128211780032426
subtype,rf,0,0.5805439595192917,0.5809614168247945,0.0006721701210545814
subtype,rf,1,0.6128470394736842,0.6156907894736842,0.010102574903654075
subtype,svc,0,0.562068311195446,0.5630297280202404,0.011542553913249997
subtype,svc,1,0.6068601973684211,0.6171875,0.0338996843568928
