data_type,algo,train.val,auc
all,avg,1,0.7771683673469388
all,avg,0,0.7765970904490829
omics,avg,1,0.7785714285714286
omics,avg,0,0.7822896900695763
subtype,avg,1,0.5210459183673469
subtype,avg,0,0.5795698924731183
all,lr,1,0.7559948979591836
all,lr,0,0.776470588235294
omics,lr,1,0.7519132653061225
omics,lr,0,0.7695129664769134
subtype,lr,1,0.5108418367346939
subtype,lr,0,0.5795698924731183
all,rf,1,0.7771683673469387
all,rf,0,0.7497786211258697
omics,rf,1,0.7682397959183673
omics,rf,0,0.7567362428842505
subtype,rf,1,0.5411989795918367
subtype,rf,0,0.5795698924731183
all,svc,1,0.7540816326530613
all,svc,0,0.7645793801391525
omics,svc,1,0.766454081632653
omics,svc,0,0.7714104996837444
subtype,svc,1,0.50625
subtype,svc,0,0.5437697659709044
omics,avg,1,0.7785714285714286
omics,avg,0,0.7822896900695763
all,avg,1,0.7771683673469388
all,avg,0,0.7765970904490829
subtype,avg,1,0.5210459183673469
subtype,avg,0,0.5795698924731183
omics,lr,1,0.7519132653061225
omics,lr,0,0.7695129664769134
all,lr,1,0.7559948979591836
all,lr,0,0.776470588235294
subtype,lr,1,0.5108418367346939
subtype,lr,0,0.5795698924731183
omics,rf,1,0.7682397959183673
omics,rf,0,0.7567362428842505
all,rf,1,0.7771683673469387
all,rf,0,0.7497786211258697
subtype,rf,1,0.5411989795918367
subtype,rf,0,0.5795698924731183
omics,svc,1,0.766454081632653
omics,svc,0,0.7714104996837444
all,svc,1,0.7540816326530613
all,svc,0,0.7645793801391525
subtype,svc,1,0.50625
subtype,svc,0,0.5437697659709044
